added_route_id,trip_id
214,41951331
216,41951331
214,41951418
216,41951418
214,41951440
216,41951440
214,41951442
216,41951442
214,41951637
216,41951637
214,41951641
216,41951641
214,41951658
216,41951658
214,41951659
216,41951659
214,41951661
216,41951661
214,41951672
216,41951672
214,41951681
216,41951681
214,41951692
216,41951692
214,41951694
216,41951694
214,41951697
216,41951697
214,41951701
216,41951701
214,41951773
216,41951773
214,41951775
216,41951775
214,41951777
216,41951777
214,41951781
216,41951781
214,41951782
216,41951782
214,41951784
216,41951784
214,41951786
216,41951786
214,41951790
216,41951790
214,41951792
216,41951792
214,41951794
216,41951794
214,41951881
216,41951881
214,41951903
216,41951903
214,41951905
216,41951905
214,41954513
216,41954513
214,41954536
216,41954536
214,41954537
216,41954537
214,41954538
216,41954538
214,41954539
216,41954539
214,41954540
216,41954540
214,41954541
216,41954541
214,41954542
216,41954542
214,41954543
216,41954543
214,41954566
216,41954566
214,41954567
216,41954567
214,41954579
216,41954579
214,41954600
216,41954600
24,42123378
27,42123378
24,42123380
27,42123380
24,42123382
27,42123382
24,42123384
27,42123384
24,42123386
27,42123386
24,42123388
27,42123388
24,42141099
27,42141099
24,42141100
27,42141100
24,42141101
27,42141101
24,42141102
27,42141102
24,42141103
27,42141103
24,42141104
27,42141104
24,42141105
27,42141105
24,42141106
27,42141106
24,42141107
27,42141107
24,42141108
27,42141108
24,42141109
27,42141109
24,42141110
27,42141110
24,42141111
27,42141111
24,42141112
27,42141112
24,42141113
27,42141113
24,42141114
27,42141114
24,42141115
27,42141115
24,42141116
27,42141116
24,42141117
27,42141117
24,42141311
27,42141311
24,42141313
27,42141313
24,42141315
27,42141315
24,42141317
27,42141317
24,42141319
27,42141319
24,42141321
27,42141321
24,42141323
27,42141323
24,42127352
27,42127352
24,42127541
27,42127541
24,42127674
27,42127674
24,42127675
27,42127675
24,42127676
27,42127676
24,42127677
27,42127677
24,42127678
27,42127678
24,42127679
27,42127679
24,42127680
27,42127680
24,42127681
27,42127681
24,42127682
27,42127682
24,42127683
27,42127683
24,42128222
27,42128222
24,42128411
27,42128411
24,42128544
27,42128544
24,42128545
27,42128545
24,42128546
27,42128546
24,42128547
27,42128547
24,42128548
27,42128548
24,42128549
27,42128549
24,42128550
27,42128550
24,42128551
27,42128551
24,42128552
27,42128552
24,42128553
27,42128553
24,42158052
27,42158052
24,42158054
27,42158054
24,42158056
27,42158056
24,42158058
27,42158058
24,42158060
27,42158060
24,42158062
27,42158062
24,42123377
27,42123377
24,42123379
27,42123379
24,42123381
27,42123381
24,42123383
27,42123383
24,42123385
27,42123385
24,42123387
27,42123387
24,42141077
27,42141077
24,42141078
27,42141078
24,42141079
27,42141079
24,42141080
27,42141080
24,42141081
27,42141081
24,42141082
27,42141082
24,42141083
27,42141083
24,42141084
27,42141084
24,42141085
27,42141085
24,42141086
27,42141086
24,42141087
27,42141087
24,42141088
27,42141088
24,42141090
27,42141090
24,42141091
27,42141091
24,42141092
27,42141092
24,42141093
27,42141093
24,42141094
27,42141094
24,42141095
27,42141095
24,42141096
27,42141096
24,42141097
27,42141097
24,42141312
27,42141312
